nlayers,nhidden,lr,batch_size,dropout,valid loss,valid ppl,test loss,test ppl
1,100,20,20,0.0,3.51,33.30,3.86,47.27
1,1600,20,20,0.0,3.32,27.64,3.71,40.94
1,200,20,20,0.0,3.37,29.14,3.74,42.08
1,400,20,20,0.2,3.26,26.08,3.61,36.84
1,800,20,20,0.2,3.21,24.77,3.56,35.32
2,100,20,20,0.2,3.52,33.69,3.85,46.92
2,200,20,20,0.2,3.35,28.41,3.69,39.97
2,400,20,20,0.2,3.24,25.63,3.60,36.51
2,650,20,20,0.2,3.21,24.79,3.57,35.39
2,650,20,64,0.2,3.22,25.05,3.58,35.94
2,650,20,128,0.2,3.24,25.4,3.60,36.67
2,650,20,256,0.2,3.25,25.9,3.62,37.29
2,800,5,20,0.0,3.34,28.28,3.72,41.42
2,800,5,20,0.2,3.26,25.94,3.63,37.56
2,800,5,20,0.4,3.22,25.00,3.58,35.71
2,800,10,20,0.0,3.37,28.98,3.75,42.72
2,800,10,20,0.1,3.28,26.70,3.67,39.08
2,800,10,20,0.2,3.22,24.97,3.58,35.91
2,800,10,20,0.4,3.20,24.45,3.55,34.99
2,800,20,20,0.0,3.33,27.96,3.73,41.60
2,800,20,20,0.1,3.24,25.58,3.61,37.10
2,800,20,20,0.2,3.21,24.70,3.57,35.38
2,800,20,20,0.4,3.20,24.54,3.56,35.13
2,1200,20,128,0.2,3.27,26.39,3.65,38.57
2,1200,20,256,0.2,3.28,26.63,3.65,38.52
2,1200,20,64,0.2,3.25,25.77,3.62,37.22
3,100,20,20,0.2,3.52,33.65,3.85,46.79
3,200,20,20,0.2,3.36,28.66,3.69,40.01
3,400,20,20,0.2,3.24,25.59,3.59,36.20
3,800,20,20,0.2,3.21,24.78,3.57,35.63
4,200,20,20,0.2,3.36,28.86,3.70,40.35
5,200,20,20,0.2,3.38,29.51,3.72,41.26
2,800,20,20,0.2,switch: 3.55,switch: 34.93,switch: 3.20,switch: 24.53
