nlayers,nhid/emsize,lr,batch_size,dropout,seed,test loss,test ppl
2,200,05,20,0.0,1001,3.47,32.02
2,200,05,20,0.0,1002,3.47,32.09
2,200,05,20,0.0,1003,3.47,32.11
2,200,05,20,0.2,1010,3.42,30.60
2,200,05,20,0.2,1011,3.42,30.63
2,200,05,20,0.2,1012,3.42,30.51
2,200,05,20,0.4,1019,3.50,33.22
2,200,05,20,0.4,1020,3.50,33.07
2,200,05,20,0.4,1021,3.52,33.83
2,200,05,20,0.6,1028,3.70,40.41
2,200,05,20,0.6,1029,3.69,39.99
2,200,05,20,0.6,1030,3.69,40.09
2,200,05,80,0.0,1037,3.48,32.48
2,200,05,80,0.0,1038,3.48,32.52
2,200,05,80,0.0,1039,3.49,32.76
2,200,05,80,0.2,1046,3.44,31.24
2,200,05,80,0.2,1047,3.44,31.20
2,200,05,80,0.2,1048,3.44,31.18
2,200,05,80,0.4,1055,3.54,34.63
2,200,05,80,0.4,1056,3.53,34.24
2,200,05,80,0.4,1057,3.55,34.74
2,200,05,80,0.6,1064,3.70,40.56
2,200,05,80,0.6,1065,3.73,41.67
2,200,05,80,0.6,1066,3.70,40.57
2,200,10,20,0.0,1004,3.46,31.79
2,200,10,20,0.0,1005,3.47,32.21
2,200,10,20,0.0,1006,3.47,32.10
2,200,10,20,0.2,1013,3.42,30.47
2,200,10,20,0.2,1014,3.42,30.53
2,200,10,20,0.2,1015,3.42,30.56
2,200,10,20,0.4,1022,3.52,33.78
2,200,10,20,0.4,1023,3.51,33.51
2,200,10,20,0.4,1024,3.51,33.53
2,200,10,20,0.6,1031,3.71,40.78
2,200,10,20,0.6,1032,3.71,41.04
2,200,10,20,0.6,1033,3.71,40.68
2,200,10,80,0.0,1040,3.48,32.42
2,200,10,80,0.0,1041,3.48,32.47
2,200,10,80,0.0,1042,3.47,32.27
2,200,10,80,0.2,1049,3.42,30.71
2,200,10,80,0.2,1050,3.42,30.55
2,200,10,80,0.2,1051,3.42,30.72
2,200,10,80,0.4,1058,3.51,33.47
2,200,10,80,0.4,1059,3.51,33.55
2,200,10,80,0.4,1060,3.52,33.76
2,200,10,80,0.6,1067,3.70,40.37
2,200,10,80,0.6,1068,3.71,40.83
2,200,10,80,0.6,1069,3.69,40.11
2,200,20,20,0.0,1007,3.46,31.84
2,200,20,20,0.0,1008,3.47,32.05
2,200,20,20,0.0,1009,3.48,32.36
2,200,20,20,0.2,1016,3.44,31.07
2,200,20,20,0.2,1017,3.45,31.35
2,200,20,20,0.2,1018,3.43,31.01
2,200,20,20,0.4,1025,3.53,34.20
2,200,20,20,0.4,1026,3.55,34.67
2,200,20,20,0.4,1027,3.55,34.77
2,200,20,20,0.6,1034,3.77,43.30
2,200,20,20,0.6,1035,3.78,43.77
2,200,20,20,0.6,1036,3.79,44.11
2,200,20,80,0.0,1043,3.47,32.08
2,200,20,80,0.0,1044,3.47,32.21
2,200,20,80,0.0,1045,3.47,32.02
2,200,20,80,0.2,1052,3.42,30.44
2,200,20,80,0.2,1053,3.41,30.28
2,200,20,80,0.2,1054,3.42,30.62
2,200,20,80,0.4,1061,3.52,33.74
2,200,20,80,0.4,1062,3.51,33.51
2,200,20,80,0.4,1063,3.52,33.71
2,200,20,80,0.6,1070,3.72,41.22
2,200,20,80,0.6,1071,3.70,40.51
2,200,20,80,0.6,1072,3.71,40.93
2,800,05,20,0.0,1073,3.44,31.24
2,800,05,20,0.0,1074,3.44,31.15
2,800,05,20,0.0,1075,3.44,31.13
2,800,05,20,0.2,1082,3.32,27.59
2,800,05,20,0.2,1083,3.31,27.43
2,800,05,20,0.2,1084,3.32,27.56
2,800,05,20,0.4,1091,3.26,25.99
2,800,05,20,0.4,1092,3.26,26.09
2,800,05,20,0.4,1093,3.26,25.98
2,800,05,20,0.6,1100,3.29,26.84
2,800,05,20,0.6,1101,3.29,26.85
2,800,05,20,0.6,1102,3.29,26.78
2,800,05,80,0.0,1110,3.44,31.30
2,800,05,80,0.0,1111,3.43,31.01
2,800,05,80,0.2,1118,3.33,28.08
2,800,05,80,0.2,1119,3.34,28.11
2,800,05,80,0.2,1120,3.34,28.11
2,800,05,80,0.4,1127,3.28,26.60
2,800,05,80,0.4,1128,3.28,26.59
2,800,05,80,0.4,1129,3.28,26.60
2,800,05,80,0.6,1136,3.33,27.85
2,800,05,80,0.6,1137,3.32,27.58
2,800,10,20,0.0,1076,3.41,30.37
2,800,10,20,0.0,1077,3.41,30.31
2,800,10,20,0.0,1078,3.41,30.42
2,800,10,20,0.2,1085,3.29,26.84
2,800,10,20,0.2,1086,3.29,26.92
2,800,10,20,0.2,1087,3.30,27.00
2,800,10,20,0.4,1094,3.26,25.94
2,800,10,20,0.4,1095,3.25,25.84
2,800,10,20,0.4,1096,3.26,25.92
2,800,10,20,0.6,1103,3.30,27.09
2,800,10,20,0.6,1104,3.29,26.87
2,800,10,20,0.6,1105,3.29,26.96
2,800,10,80,0.0,1112,3.44,31.17
2,800,10,80,0.0,1113,3.44,31.11
2,800,10,80,0.0,1114,3.44,31.12
2,800,10,80,0.2,1121,3.32,27.70
2,800,10,80,0.2,1122,3.32,27.63
2,800,10,80,0.2,1123,3.32,27.58
2,800,10,80,0.4,1130,3.26,26.13
2,800,10,80,0.4,1131,3.26,26.06
2,800,10,80,0.6,1139,3.29,26.88
2,800,10,80,0.6,1140,3.29,26.90
2,800,10,80,0.6,1141,3.29,26.91
2,800,20,20,0.0,1079,3.42,30.50
2,800,20,20,0.0,1080,3.42,30.70
2,800,20,20,0.0,1081,3.42,30.65
2,800,20,20,0.2,1088,3.28,26.69
2,800,20,20,0.2,1089,3.29,26.81
2,800,20,20,0.2,1090,3.28,26.65
2,800,20,20,0.4,1097,3.26,26.13
2,800,20,20,0.4,1098,3.27,26.18
2,800,20,20,0.4,1099,3.26,26.14
2,800,20,20,0.6,1106,3.34,28.29
2,800,20,20,0.6,1107,3.34,28.36
2,800,20,20,0.6,1108,3.34,28.15
2,800,20,80,0.0,1115,3.43,30.97
2,800,20,80,0.0,1116,3.44,31.23
2,800,20,80,0.0,1117,3.43,31.02
2,800,20,80,0.2,1124,3.30,27.07
2,800,20,80,0.2,1125,3.30,27.07
2,800,20,80,0.2,1126,3.32,27.57
2,800,20,80,0.4,1133,3.25,25.77
2,800,20,80,0.4,1134,3.25,25.71
2,800,20,80,0.4,1134,3.25,25.71
2,800,20,80,0.4,1135,3.25,25.70
2,800,20,80,0.6,1142,3.29,26.76
2,800,20,80,0.6,1143,3.29,26.96
2,800,20,80,0.6,1144,3.29,26.75
